address,name,source,compiled_size,mapped_size,matching
0x0803C794,NoOpSessionHook,src/misc/session_reset.c,2,2,yes
0x0803C798,ResetSessionNode,src/misc/session_node.c,40,40,yes
0x0803C7D4,SubmitPack,src/world/submit_pack.c,24,24,yes
0x0803F630,InitState,src/world/state_init.c,26,26,yes
0x0803F64C,StateNoop,src/world/state_init.c,2,2,yes
0x0803F650,RunState,src/world/state_init.c,12,12,yes
0x0803F65C,UpdateState,src/world/state_init.c,32,32,yes
0x0803F67C,InitHandlerPack,src/world/init_handler_pack.c,32,32,yes
0x0803F69C,RearmSlot,src/world/rearm_slot.c,60,60,yes
0x0803F6D8,RetargetIfKind4,src/world/retarget_if_kind4.c,32,32,yes
0x0803F6F8,SetActorEngage,src/world/actor_states.c,28,28,yes
0x0803F714,SetActorActive,src/world/actor_states.c,56,56,yes
0x0803F74C,SetActorIdle,src/world/actor_states.c,24,24,yes
0x0803F764,ReleaseActor,src/world/actor_states.c,40,40,yes
0x08042058,GetTileFieldA,src/world/map_tile_fields.c,48,48,yes
0x08042088,GetTileType,src/world/map_tile_fields.c,44,44,yes
0x08042434,IsTileTypeInRange,src/world/map_tiles.c,60,60,yes
0x080424A8,GetTileFieldA2,src/world/tile_and_map.c,48,48,yes
0x080424D8,GetMapSize,src/world/tile_and_map.c,20,20,yes
0x08042784,FUN_08042784,src/world/wrap_08042784.c,10,10,yes
0x080428AC,FUN_080428ac,src/world/wrap_080428ac.c,10,10,yes
0x0804FB4C,FUN_0804fb4c,src/world/wrap_0804fb4c.c,10,10,yes
0x0804FF98,FUN_0804ff98,src/world/wrap_0804ff98.c,10,10,yes
0x0804FFB4,FUN_0804ffb4,src/world/wrap_0804ffb4.c,10,10,yes
0x080500D0,FUN_080500d0,src/world/wrap_080500d0.c,10,10,yes
0x08050190,CompareA,src/world/word_compare.c,28,28,yes
0x080501AC,CompareB,src/world/word_compare.c,28,28,yes
0x08050918,ResetAnchorSmall,src/world/anchor_reset.c,28,28,yes
0x08050934,ResetAnchorFull,src/world/anchor_reset.c,36,36,yes
0x08050958,ResetAnchorPartial,src/world/anchor_reset.c,24,24,yes
0x08050988,GetAnchorUnk04,src/world/get_anchor_unk04.c,12,12,yes
0x08050994,GetBaseAlt,src/world/get_slot_unk10.c,12,12,yes
0x080509A0,AdvanceAnchor,src/world/get_slot_unk10.c,36,36,yes
0x080509C4,CallWithOffset,src/world/offset_helpers.c,24,24,yes
0x080509DC,GetBase,src/world/gRam02030330_gets.c,12,12,yes
0x080509E8,SetSlot,src/world/gRam02030330_gets.c,12,12,yes
0x080509F4,GetAnchorUnk30,src/world/get_anchor_unk30.c,12,12,yes
0x08050A00,GetAnchorUnk34,src/world/get_anchor_unk34.c,12,12,yes
0x08050A0C,CheckCurrentEntity,src/world/check_current_entity.c,38,38,yes
0x08050A34,IsAnchorSmall,src/world/is_anchor_small.c,20,20,yes
0x080512B0,GetRecordIndex,src/world/get_record_index.c,12,12,yes
0x08051464,FUN_08051464,src/world/wrap_08051464.c,10,10,yes
0x08051480,FUN_08051480,src/world/wrap_08051480.c,10,10,yes
0x0805148C,IsStateReady,src/world/is_state_two.c,20,20,yes
0x080514C8,GetRecordUnk04,src/misc/record_table.c,28,28,yes
0x080514E4,GetRecordUnk08,src/misc/record_table.c,28,28,yes
0x08051500,GetRecord,src/misc/record_table.c,20,20,yes
0x0805151C,DrainTwoChains,src/world/drain_two_chains.c,34,34,yes
0x08055A68,RandomizeCoords,src/world/node_search.c,44,44,yes
0x08055A94,FindNodeAfter,src/world/node_search.c,20,20,yes
0x08055AA8,FindNode,src/world/node_search.c,28,28,yes
0x08055AC4,ClassifyId,src/world/node_search.c,52,52,yes
0x08055AF8,QueryEntity,src/world/entity_query.c,60,60,yes
0x08055B34,EngageActor,src/world/engage_actor.c,74,74,yes
0x08055BBC,RefreshThenNotify,src/world/refresh_then_notify.c,44,44,yes
0x08055BF8,ForwardZeroArg2,src/world/forward_zero_arg2.c,12,12,yes
0x08055C8C,FindNthFreeSlot,src/world/slot_scan.c,58,58,yes
0x08055CC8,ClearSlots,src/world/slot_scan.c,64,64,yes
0x08055D08,GetEntrySlot,src/world/slot_table.c,16,16,yes
0x08055D18,FindFreeSlotRun,src/world/slot_table.c,60,60,yes
0x08055D54,FillSlotsWithNone,src/world/slot_table.c,60,60,yes
0x08059D7C,FUN_08059d7c,src/world/wrap_08059d7c.c,10,10,yes
0x0805A4F4,FUN_0805a4f4,src/world/wrap_0805a4f4.c,10,10,yes
0x0805AC44,CopySrcToDest,src/world/counter_saturate.c,12,12,yes
0x0805AC50,BumpOrReset,src/world/bump_or_reset.c,56,56,yes
0x0805E6C4,SetTableIndex,src/misc/table_lookup.c,16,16,yes
0x0805E6D4,GetTableIndex,src/misc/table_lookup.c,12,12,yes
0x0805E6E0,GetRecordWord,src/misc/table_lookup.c,32,32,yes
0x08062294,GetModeCategory,src/world/ram_state.c,30,30,yes
0x080622B4,SetRamState,src/world/ram_state.c,12,12,yes
0x0806233C,IsModeReady,src/world/is_mode_two.c,20,20,yes
0x08062350,IsModeDone,src/world/is_mode_two.c,20,20,yes
0x08062514,GetRamType,src/world/ram_flags.c,28,28,yes
0x08062530,IsRamModeWanted,src/world/is_ram_mode.c,28,28,yes
0x08062654,GetRamWord16,src/world/get_ram_word16.c,12,12,yes
0x08063BCC,FUN_08063bcc,src/world/wrap_08063bcc.c,10,10,yes
0x0806434C,SetFontIndex,src/text/draw_text.c,16,16,yes
0x0806435C,DrawText,src/text/draw_text.c,124,124,yes
0x080643D8,DrawTextCentred,src/text/draw_text.c,134,134,yes
0x08064460,DrawTextRightAligned,src/text/draw_text.c,130,130,yes
0x080644E4,GetGlyphWidth,src/text/draw_text.c,64,64,yes
0x08064524,GetTextWidth,src/text/draw_text.c,108,108,yes
0x08064590,ClearTextArea,src/text/clear_text_area.c,132,132,no
0x080664A4,GetBaseValue,src/world/pause_helpers.c,6,6,yes
0x080664AC,MaybeReset,src/world/pause_helpers.c,24,24,yes
0x080664C4,IsSessionActive,src/world/pause_helpers.c,44,44,yes
0x080664F0,MaybeAdvance,src/world/maybe_advance.c,42,42,yes
0x08066540,ResetSessionFlags,src/world/reset_session_flags.c,40,40,yes
0x08066A40,MaybeSetCommByte6,src/world/comm_flag.c,20,20,yes
0x080671B8,BumpCount6A,src/world/more_counters.c,28,28,yes
0x080671D4,BumpCount68,src/world/more_counters.c,28,28,yes
0x080671F0,BumpCount64,src/world/more_counters.c,28,28,yes
0x0806720C,BumpSaveCounter,src/world/bump_save_counter.c,28,28,yes
0x08067228,BumpCountB,src/world/stat_counters.c,28,28,yes
0x08067244,BumpCountA,src/world/stat_counters.c,28,28,yes
0x08067260,ResetDistanceAccum,src/world/stat_counters.c,20,20,yes
0x08067274,AddDistance,src/world/distance_accum.c,68,68,yes
0x080672B8,AccumulateDistance,src/world/accumulate_distance.c,68,68,yes
0x08067374,BumpCount7A,src/world/more_counters_2.c,28,28,yes
0x08067390,BumpCount84,src/world/more_counters_2.c,28,28,yes
0x080673C4,BumpCount70,src/world/more_counters_3.c,28,28,yes
0x080673E0,BumpCount80,src/world/more_counters_3.c,28,28,yes
